name,rating,reviews,address,place_id
Earth Group of Companies,2,4,"26, Ist Floor, Pusa Road, Near Karol Bagh Metro Station, Karol Bagh, Delhi",ChIJrRTYUeYPDTkRQC16bIFezHs
Today Homes And Infrastructure Private Limited,1.4,20,"8th Floor, Statesman House, Barakhamba Road, New Delhi",ChIJX8lQSzH9DDkRrpGaOhcBczY
SAHA Infratech Pvt Ltd,2,2,"N-101/B, Munshi Lal Building, Connaught Circus, New Delhi",ChIJnfEfzzb9DDkR_IMLCIPwaV4
PropertieZ.in,0,0,"Top Floor, 28/51, West Patel Nagar, New Delhi",ChIJWeODz_ECDTkRpa81z5DbJHs
whiteinc financial services and advisory solution,0,0,"B-35, Lower Ground Floor, South Extension Part II, New Delhi",ChIJWY6tr0LiDDkRrVCN8d92_78
Indian Properties,0,0,"E-113, Doctor Ramlal Verma Marg, Krishna Market, Lajpat Nagar I, Lajpat Nagar, New Delhi",ChIJAQAAQKvjDDkRD4oy90DTzyA
Jerath Properties,0,0,"212 A 16, Ansal Bhavan, Kasturba Gandhi Marg, Connaught Place, Connaught Place, New Delhi",ChIJq6rqhzP9DDkRt8izNlyApK8
ITPL Infra Solutions,0,0,"206 BMC House, N1, Connaught Place, New Delhi",ChIJo3hz6Tb9DDkR7IOhYOpwpnQ
SAI Properties,2.8,15,"D-65, Near Jor Bagh, Lodhi Road, Najaf Khan Road, Aliganj, BK Dutt Colony, New Delhi",ChIJTdmZNIviDDkRDmUot_R2W_s
Mehta Property,0,0,"57/11,, Old Rajinder Nagar, Rajinder Nagar, Delhi",ChIJ-aM89aICDTkRKu0ROO7mzIo
Rajpal Properties,3,2,"M648+H93, Qutab Road, Narain Market, Sadar Bazaar, Delhi",ChIJgTf64HL9DDkRAqs9G7phRYg
